focal_researcher,year,title,doi,first_last_credit,design_judgment,primary_source_url,scopus_id,journal,doctype,in_frame,old_retrieved,latest_revised_retrieved,old_local_verified,latest_local_verified,concepts_retrieved,exposure_retrieved,exposure_human_retrieved,primary_omission_reason,refined_candidate_retrieved,refined_first_last_candidate_credit
Gordon Pennycook,2018,Prior exposure increases perceived accuracy of fake news,10.1037/xge0000465,true,eligible,https://pmc.ncbi.nlm.nih.gov/articles/PMC6279465/,85053713255,Journal of Experimental Psychology General,ar,true,false,false,false,false,false,false,false,query vocabulary miss,false,false
Gordon Pennycook,2020,Emphasizing publishers does not effectively reduce susceptibility to misinformation on social media,10.37016/mr-2020-001,false,eligible,https://misinforeview.hks.harvard.edu/article/emphasizing-publishers-does-not-reduce-misinformation/,85127735283,Harvard Kennedy School Misinformation Review,ar,true,true,true,true,true,true,true,true,retrieved; middle author receives no credit,true,false
Gordon Pennycook,2020,The Implied Truth Effect: Attaching Warnings to a Subset of Fake News Headlines Increases Perceived Accuracy of Headlines Without Warnings,10.1287/mnsc.2019.3478,true,eligible,https://pubsonline.informs.org/doi/pdf/10.1287/mnsc.2019.3478,85095723404,Management Science,ar,true,false,false,false,false,false,false,false,query vocabulary miss,false,false
Gordon Pennycook,2020,Fighting COVID-19 Misinformation on Social Media: Experimental Evidence for a Scalable Accuracy-Nudge Intervention,10.1177/0956797620939054,true,eligible,https://journals.sagepub.com/doi/10.1177/0956797620939054,85087378095,Psychological Science,ar,true,false,false,false,false,true,false,false,query vocabulary miss,true,true
Gordon Pennycook,2020,Reliance on emotion promotes belief in fake news,10.1186/s41235-020-00252-3,false,eligible,https://link.springer.com/article/10.1186/s41235-020-00252-3,85092188429,Cognitive Research Principles and Implications,ar,true,false,false,false,false,false,false,false,query vocabulary miss,false,false
Gordon Pennycook,2021,Timing matters when correcting fake news,10.1073/pnas.2020043118,false,eligible,https://pubmed.ncbi.nlm.nih.gov/33495336/,85100006361,Proceedings of the National Academy of Sciences of the United States of America,ar,true,false,false,false,false,true,true,true,query vocabulary miss,true,false
Gordon Pennycook,2021,Shifting attention to accuracy can reduce misinformation online,10.1038/s41586-021-03344-2,true,eligible,https://www.nature.com/articles/s41586-021-03344-2,85103049149,Nature,ar,true,true,true,true,true,true,true,true,included; first/last credit,true,true
Gordon Pennycook,2021,Developing an accuracy-prompt toolkit to reduce COVID-19 misinformation online,10.37016/mr-2020-71,false,eligible,https://misinforeview.hks.harvard.edu/article/developing-an-accuracy-prompt-toolkit-to-reduce-covid-19-misinformation-online/,85117921915,Harvard Kennedy School Misinformation Review,ar,true,true,true,true,true,true,true,true,retrieved; middle author receives no credit,true,false
Gordon Pennycook,2024,Inoculation and accuracy prompting increase accuracy discernment in combination but not alone,10.1038/s41562-024-02023-2,true,probable_eligible_multimodal,https://www.nature.com/articles/s41562-024-02023-2,85208141624,Nature Human Behaviour,ar,true,false,false,false,false,true,false,false,query vocabulary miss,true,true
Gordon Pennycook,2026,Unbundling Digital Media Literacy Tips: Results from Two Experiments,10.1007/s11109-026-10165-4,false,eligible,https://link.springer.com/article/10.1007/s11109-026-10165-4,105040636836,Political Behavior,ar,true,false,false,false,false,true,false,false,query vocabulary miss,true,false
Jennifer A. Richeson,2014,More Diverse Yet Less Tolerant? How the Increasingly Diverse Racial Landscape Affects White Americans’ Racial Attitudes,10.1177/0146167214524993,true,eligible,https://spcl.yale.edu/media/161/download?inline=,84901040356,Personality and Social Psychology Bulletin,ar,true,false,false,false,false,true,true,false,query vocabulary miss,false,false
Jennifer A. Richeson,2014,On the Precipice of a “Majority-Minority” America: Perceived Status Threat From the Racial Demographic Shift Affects White Americans’ Political Ideology,10.1177/0956797614527113,true,eligible,https://spcl.yale.edu/media/162/download?inline=,84904728316,Psychological Science,ar,true,false,false,false,false,true,false,false,query vocabulary miss,false,false
