corpus,variant,n_available,n_local_matches,design_yes,design_no,design_unclear,status
initial_stratified_development,proximity_literal_read,160,8,8,0,0,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
initial_stratified_development,proximity_read_inflections,160,9,8,1,0,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
initial_stratified_development,proximity_read_prefix,160,9,8,1,0,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
initial_stratified_development,proximity_literal_read_same_sentence,160,8,8,0,0,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
initial_stratified_development,minimal_nine_named_labels,160,39,36,3,0,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
initial_stratified_development,all_nineteen_named_labels,160,39,36,3,0,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
initial_stratified_development,minimal_named_or_proximity,160,46,43,3,0,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
initial_stratified_development,all_named_or_proximity,160,46,43,3,0,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
initial_stratified_development,previous_core_without_broad_procedure,160,75,71,4,0,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
initial_stratified_development,previous_core_or_proximity,160,77,73,4,0,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
initial_stratified_development,proximity_beyond_previous_core,160,2,2,0,0,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
initial_stratified_development,lost_by_minimal_compared_with_previous_core,160,31,30,1,0,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
former_holdout_now_development,proximity_literal_read,100,4,3,1,0,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
former_holdout_now_development,proximity_read_inflections,100,4,3,1,0,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
former_holdout_now_development,proximity_read_prefix,100,4,3,1,0,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
former_holdout_now_development,proximity_literal_read_same_sentence,100,4,3,1,0,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
former_holdout_now_development,minimal_nine_named_labels,100,35,30,3,2,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
former_holdout_now_development,all_nineteen_named_labels,100,36,31,3,2,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
former_holdout_now_development,minimal_named_or_proximity,100,38,32,4,2,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
former_holdout_now_development,all_named_or_proximity,100,39,33,4,2,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
former_holdout_now_development,previous_core_without_broad_procedure,100,39,34,3,2,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
former_holdout_now_development,previous_core_or_proximity,100,41,35,4,2,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
former_holdout_now_development,proximity_beyond_previous_core,100,2,1,1,0,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
former_holdout_now_development,lost_by_minimal_compared_with_previous_core,100,3,3,0,0,"Exposed development metadata and AI labels; local lexical proxy, not measured Scopus retrieval or precision"
