focal_researcher,year,title,doi,author_position,n_authors,first_last_credit,design_judgment,design_evidence_level,stimulus_summary,response_summary,sampling_evidence,us_evidence_in_title_abstract_keywords,us_evidence_after_source_review,us_evidence_basis,parser_compatibility,abstract_language_limitation,primary_source_url,source_locator,notes,annotation_method,human_validated,review_date
Gordon Pennycook,2018,Prior exposure increases perceived accuracy of fake news,10.1037/xge0000465,first,3,true,eligible,full_text,Prior exposure and warning-label manipulations; counterbalanced familiarization headlines,Headline accuracy judgments and sharing intentions,MTurk,unclear,inferred,"Indexed-front-matter geography is not established by the US-election topic. Full-text participants report their own 2016 presidential vote, which supports a contextual US inference; a residence restriction was not located.",candidate_requires_parser_check,"Abstract and author keywords omit survey, participant, experiment and randomization; describe exposure and accuracy only",https://pmc.ncbi.nlm.nih.gov/articles/PMC6279465/,Abstract; Studies 2 and 3 Methods,Contains repeated-stimulus/counterbalanced components; article eligibility does not certify parser support.,AI-assisted primary-source review,false,2026-09-10
Gordon Pennycook,2020,Emphasizing publishers does not effectively reduce susceptibility to misinformation on social media,10.37016/mr-2020-001,middle,3,false,eligible,full_text,Source labels or publisher logos versus absent/baseline source information,Accuracy ratings and sharing intentions,MTurk and Lucid,not_verified_against_indexed_abstract,explicit,"Publisher opening summary identifies nearly 7,000 Americans and Methods explicitly identifies US adults; correspondence to the Scopus abstract must be verified separately.",candidate_requires_parser_check,Publisher summary explicitly labels survey experiments; retrieving the indexed abstract is a separate indexing question,https://misinforeview.hks.harvard.edu/article/emphasizing-publishers-does-not-reduce-misinformation/,"Opening summary; Methods Studies 1, 5 and 6",Mixed correlational and experimental components; Pennycook is second of three.,AI-assisted primary-source review,false,2026-09-10
Gordon Pennycook,2020,The Implied Truth Effect: Attaching Warnings to a Subset of Fake News Headlines Increases Perceived Accuracy of Headlines Without Warnings,10.1287/mnsc.2019.3478,first,4,true,eligible,full_text,Random assignment to warning labels or control; later verification labels,Headline accuracy and prospective sharing responses,"MTurk (5,271 and 1,568 in abstract)",unclear,unclear,MTurk and partisan headlines alone do not establish residence; geographic restriction not reviewed,candidate_requires_parser_check,Abstract names MTurkers and a control condition rather than survey experiment or exact random-assignment phrases,https://pubsonline.informs.org/doi/pdf/10.1287/mnsc.2019.3478,Abstract; experimental overview,Random-assignment method independently located in publisher PDF indexed text; US geography unresolved in this source audit.,AI-assisted primary-source review,false,2026-09-10
Gordon Pennycook,2020,Fighting COVID-19 Misinformation on Social Media: Experimental Evidence for a Scalable Accuracy-Nudge Intervention,10.1177/0956797620939054,first,5,true,eligible,full_text,Accuracy reminder before subsequent headline-sharing questions,Accuracy and sharing-intention judgments,Online adults; Lucid in Methods,explicit,explicit,"Abstract explicitly identifies more than 1,700 US adults recruited online",candidate_requires_parser_check,Abstract describes an accuracy reminder and online participants; experiment language is in title,https://journals.sagepub.com/doi/10.1177/0956797620939054,Abstract; Study 2,The title supplies a design cue; this is an example where a same-sentence population-and-design requirement may be too strict.,AI-assisted primary-source review,false,2026-09-10
Gordon Pennycook,2020,Reliance on emotion promotes belief in fake news,10.1186/s41235-020-00252-3,middle,3,false,eligible,full_text,"Random assignment to reason, emotion or control induction instructions",Headline accuracy ratings,MTurk and Lucid,unclear,unclear,US partisan stimuli and a hypothetical Trump-versus-Clinton preference question do not identify the participants as US residents; explicit residence restriction not located.,candidate_requires_parser_check,Abstract describes inducing reliance on emotion and four experiments; exact textual-assignment wording occurs in Methods,https://link.springer.com/article/10.1186/s41235-020-00252-3,Study 2 Materials and Procedure; Table 3,One correlational study precedes the experimental studies; Pennycook is second of three.,AI-assisted primary-source review,false,2026-09-10
Gordon Pennycook,2021,Timing matters when correcting fake news,10.1073/pnas.2020043118,middle,4,false,eligible,abstract,"True/false tags presented before, during or after headlines versus no-tag control",Accuracy judgments one week later,Not established from reviewed abstract,unclear,unclear,Abstract does not identify a sampling country,candidate_requires_parser_check,"Abstract contains experiments, participants, reading, treatment conditions and control; lacks existing exact phrase combinations",https://pubmed.ncbi.nlm.nih.gov/33495336/,Author byline and author abstract,Full-text recruitment and randomization details were not adjudicated here; abstract supplies clear experimental treatment and response evidence.,AI-assisted primary-source review,false,2026-09-10
Gordon Pennycook,2021,Shifting attention to accuracy can reduce misinformation online,10.1038/s41586-021-03344-2,first,6,true,eligible,full_text,Accuracy prompts before headline sharing; separate Twitter intervention,Survey sharing intentions and separate field sharing behavior,MTurk and Lucid; Twitter field component,unclear,explicit,Institutional author manuscript supplement identifies American screening and Lucid matching to American residents,candidate_requires_parser_check,Abstract explicitly identifies four survey experiments,https://www.nature.com/articles/s41586-021-03344-2,Abstract; institutional author manuscript pp.23 and 50,Full-text source: https://ide.mit.edu/sites/default/files/publications/Pennycook%20et%20al%20-%20Shifting%20attention%20to%20accuracy.pdf . Contains survey and field experiments; count article once.,AI-assisted primary-source review,false,2026-09-10
Gordon Pennycook,2021,Developing an accuracy-prompt toolkit to reduce COVID-19 misinformation online,10.37016/mr-2020-71,middle,6,false,eligible,full_text,Several brief accuracy prompts versus control,Prospective sharing of true and false COVID news posts,Lucid quota-matched American social media users,not_in_abstract_but_explicit_publisher_summary,explicit,"Publisher essay summary states 9,070 American social-media users",candidate_requires_parser_check,Survey experiments appears in publisher essay summary; presence in the Scopus abstract must be checked separately,https://misinforeview.hks.harvard.edu/article/developing-an-accuracy-prompt-toolkit-to-reduce-covid-19-misinformation-online/,Essay summary; Methods,Pennycook is fifth of six; publisher essay summary is not silently recoded as indexed abstract.,AI-assisted primary-source review,false,2026-09-10
Gordon Pennycook,2024,Inoculation and accuracy prompting increase accuracy discernment in combination but not alone,10.1038/s41562-024-02023-2,first,8,true,probable_eligible_multimodal,abstract,"Inoculation video, accuracy prompts and systematically varied emotional headline content",Truth discernment and manipulation identification,"7,286 online participants",unclear,unclear,Accessible abstract does not establish country,unclear_video_and_multifactor_components,"Abstract uses studies, online participants, systematic variation and interventions rather than explicit survey-experiment terminology",https://www.nature.com/articles/s41562-024-02023-2,Abstract; figures 1-5,Author byline verified independently at University of Bristol: https://research-information.bris.ac.uk/en/publications/inoculation-and-accuracy-prompting-increase-accuracy-discernment-/ . Full-text randomization and parser support remain to review.,AI-assisted primary-source review,false,2026-09-10
Gordon Pennycook,2026,Unbundling Digital Media Literacy Tips: Results from Two Experiments,10.1007/s11109-026-10165-4,middle,4,false,eligible,abstract,Random assignment to one or more literacy tips or no-tip control,Belief and sharing-intention responses to posts,Country not established in accessible abstract,unclear,unclear,Accessible abstract omits sampling country,unclear_multiple_tip_combinations,Abstract uses active-voice randomly assign participants to receive; intervening subject breaks fixed passive phrases,https://link.springer.com/article/10.1007/s11109-026-10165-4,Author byline and abstract,"2026 journal publication verified; author site also lists a 2024 preprint, which must not be double-counted.",AI-assisted primary-source review,false,2026-09-10
Jennifer A. Richeson,2014,More Diverse Yet Less Tolerant? How the Increasingly Diverse Racial Landscape Affects White Americans’ Racial Attitudes,10.1177/0146167214524993,last,2,true,eligible,full_text,Randomized newspaper articles about changing versus current racial demographics,Explicit racial attitudes; additional implicit-bias outcomes,US-citizen MTurk participants in Study 1; study-specific samples,explicit,explicit,Abstract identifies White Americans; Study 1 explicitly requires US citizenship and reports states,candidate_requires_parser_check,"Abstract describes four experiments, presenting information and exposure; no explicit survey label",https://spcl.yale.edu/media/161/download?inline=,Abstract; p.3 Study 1 Method,Implicit-bias components do not establish compatibility of every study; article includes explicit response measures.,AI-assisted primary-source review,false,2026-09-10
Jennifer A. Richeson,2014,On the Precipice of a “Majority-Minority” America: Perceived Status Threat From the Racial Demographic Shift Affects White Americans’ Political Ideology,10.1177/0956797614527113,last,2,true,eligible,full_text,Demographic-shift salience and randomized reading manipulations,"Party leanings, policy preferences and ideology","Mixed: secondary general-population survey, Knowledge Networks/TESS, and researcher-run samples",explicit,explicit,Abstract identifies White Americans; Methods document US sampling,candidate_requires_parser_check,Abstract says four experiments and salience of demographic shifts without reading procedure or survey phrase,https://spcl.yale.edu/media/162/download?inline=,Original article begins PDF p.4; Studies 1-3,PDF prepends a 2015 corrigendum DOI10.1177/0956797615578857; original article DOI retained. National representativeness does not determine who can provide data.,AI-assisted primary-source review,false,2026-09-10
Jennifer A. Richeson,2017,Information about the US racial demographic shift triggers concerns about anti-White discrimination among the prospective White “minority”,10.1371/journal.pone.0185389,last,2,true,eligible,full_text,Randomized articles presenting demographic change or control information,Expected discrimination and cultural-threat responses,Study-specific online samples including MTurk,explicit,explicit,Abstract describes White Americans in four experiments,candidate_requires_parser_check,"Abstract includes four experiments, information exposure and control information; exact reading phrase is in Methods",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0185389,Abstract; Study Methods,Do not infer that national demographic topic means nationally representative sampling.,AI-assisted primary-source review,false,2026-09-10
