scopus_id,doi,title,journal,year
84866481595,10.1007/s10896-012-9470-0,Perceptions of Appropriate Court-Ordered Sanctions for Situational Couple Violence Offenders: A Pilot Study,Journal of Family Violence,2017
84928398485,10.1080/10508422.2014.1000458,Comprehension of Online Informed Consents: Can It Be Improved?,Ethics and Behavior,2016
84929590619,10.1080/15564886.2015.1005266,The Complexity of Public Attitudes Toward Sex Crimes,Victims and Offenders,2017
84929688885,10.1007/s10640-015-9913-1,Preference Stability and Choice Consistency in Discrete Choice Experiments,Environmental and Resource Economics,2016
84937605565,10.1080/10508422.2015.1019071,Conceptualizations of Fair Play: A Factorial Survey Study of Moral Judgments by Badminton Players,Ethics and Behavior,2016
84944706092,10.1007/s11136-015-1147-8,Language bias and self-rated health status among the Latino population: evidence of the influence of translation in a wording experiment,Quality of Life Research,2016
84945205520,10.1080/23294515.2015.1047474,Experimental evidence showing that physician guidance promotes perceptions of physician empathy,AJOB Empirical Bioethics,2016
84949519983,10.1007/s00391-015-0991-z,Care preferences and spatial mobility: Factors influencing care-related willingness to move of elderly people in partnerships in a rural area,Zeitschrift Fur Gerontologie Und Geriatrie,2017
84951914677,10.1007/s00228-015-2000-2,Improved participants' understanding in a healthy volunteer study using the SIDCER informed consent form: A randomized-controlled study,European Journal of Clinical Pharmacology,2016
84956844791,10.1002/ajmg.a.37460,Non-invasive prenatal screening for trisomy 21: Consumers' perspectives,American Journal of Medical Genetics Part A,2016
84959086305,10.1016/j.appet.2016.02.027,The relative stigmatization of eating disorders and obesity in males and females,Appetite,2016
84959189854,10.1007/s10640-014-9847-z,Controlling for the Effects of Information in a Public Goods Discrete Choice Model,Environmental and Resource Economics,2016
84959197838,10.1016/j.pec.2015.10.004,Prompting participation in health: Fostering favorable attitudes toward personal health records through message design,Patient Education and Counseling,2016
84959501331,10.4088/PCC.15m01879,A randomized survey of the public’s expectancies and willingness to participate in clinical trials of antidepressants versus psychotherapy for depression,Primary Care Companion to the Journal of Clinical Psychiatry,2016
84959557715,10.1002/bsl.2214,"Attorney Questions Predict Jury-eligible Adult Assessments of Attorneys, Child Witnesses, and Defendant Guilt",Behavioral Sciences and the Law,2016
84960115436,10.1016/j.socnet.2015.12.004,The role of social capital in the job-related regional mobility decisions of unemployed individuals,Social Networks,2016
84961187162,10.1016/j.gloenvcha.2016.03.003,"Here and now, there and then: How ""departure dates"" influence climate change engagement",Global Environmental Change,2016
84961214117,10.1080/01900692.2015.1076002,Understanding the Regulatory Thicket: Interactions Among State Environmental Regulators and Regulatees,International Journal of Public Administration,2017
