scopus_id,title,survey_experiment_design,parser_compatibility,parser_issue_flag,page,rationale,source_sha256,reviewer,reviewer_type,review_date,human_validated,article_count_exclusion_applied
84892498539,Causal inference in conjoint analysis: Understanding multidimensional choices via stated preference experiments,yes,no,repeated_multi_attribute_choice_sets,5,The article reports candidate and immigration conjoint experiments with repeated pairs of profiles and independently varying attributes (physical pages 4–5). These are genuine survey experiments but require a conjoint structure outside the simple fixed-arm parser.,d2e44ae492aa258c090f7c9f7042c35bc51b36b9115f9eb64073c2e8df310f76,root,AI_assisted,2026-09-10,false,false
84903748767,Helping victims of intimate partner violence: The influence of group norms among lay people and the police,yes,yes,none_apparent,5,"Both studies manipulate written information about group norms in paper-and-pencil questionnaires: helping versus not helping versus control among students, and arrest versus no arrest versus control among police. Outcomes are reported intentions. The three fixed conditions appear compatible in principle; original questionnaire files have not been parsed.",0e1430ed1afbbad65998119e93e70379b5c14d3c0b57985aa66479f0a807ede0,root,AI_assisted,2026-09-10,false,false
84907487526,Three experimental approaches to measure the social context dependence of prejudice communication and discriminatory behavior,yes,no,mixed_simple_and_repeated_choice_designs,9,"The article combines a simple question-order experiment, a single-vignette factorial survey, and a repeated discrete-choice experiment involving three alternatives with multiple attributes. The latter requires a choice-set parser; simpler component studies may be usable separately.",2673db55015955c4aaedb521b17375e82e4606d70b143a25e5b863a3251f2b31,root,AI_assisted,2026-09-10,false,false
84922551432,In-group bias in children's intention to help can be overpowered by inducing empathy,yes,yes,none_apparent,4,"Two written helping stories share a fixed between-subjects manipulation of empathy induction, friend status, and need, followed by rated helping intentions. There are no multi-attribute choice sets; the two fixed story outcomes appear compatible in principle, subject to inspection of original questionnaire files.",b7beff87ff9439aa915905e8f0fc3d412ec037151b4fb3025f95e12f5640819b,root,AI_assisted,2026-09-10,false,false
84925854096,She’s Not a Person.. She’s Just a Woman! Infra-Humanization and Intimate Partner Violence,yes,yes,none_apparent,6,A paper-and-pencil survey presents a written intimate-partner-violence vignette and varies whether the victim admits or denies infidelity. Participants then report perceptions and willingness to help. This two-condition design appears compatible in principle; the original instrument has not been parsed.,7451c90d78f7d4b0b43f6c89894d5bccc9d6e140f7e693a832541f9d1cf11bff,root,AI_assisted,2026-09-10,false,false
84928790041,Inoculation in competitive framing examining message effects on policy preferences,yes,unclear,linked_wave_message_sequences_need_inspection,7,"The article randomizes written tax-framing and inoculation messages across eight fixed conditions over two survey waves. It is a survey experiment, but combining treatment sequences, repeat outcomes, and linked-wave records needs original instrument and data inspection before parser compatibility can be established.",eaf933d1fafbef18b0d2be6c8adab00a31e8ea8c89011b39d101f1b4d80d07b5,root,AI_assisted,2026-09-10,false,false
84943817918,First Arrival and Collective Land Ownership: How Children Reason About Who Owns the Land,yes,unclear,visual_stimuli_need_inspection,5,"Four experiments randomize fixed picture-story or text variants and collect ownership, liking, or pride judgments on paper questionnaires. This is eligible survey-experimental content, but the cartoon stimuli and paper instrument require inspection before parser compatibility can be confirmed.",d3e165f4a179569a3d92efcc70428159cc8dbefc5b9223831e9e381b281bfa50,strategy_review,AI_assisted,2026-09-10,false,false
84945247501,When is Changing Policy Positions Costly for Politicians? Experimental Evidence,yes,yes,none_apparent,11,"Two between-respondent experiments vary a single written candidate biography and collect fixed evaluation items. The appendices provide vignette variants and response wording; randomized policy attributes do not by themselves make this a repeated paired-profile conjoint. The described structure appears compatible, subject to inspection of the original survey and data files.",624a807fb9c5edb4694a1a7c35d72acaf4cf0aa022d7764134a7cfe973e6fa7e,strategy_review,AI_assisted,2026-09-10,false,false
84975770291,Improving Survey Response Rates in Online Panels: Effects of Low-Cost Incentives and Cost-Free Text Appeal Interventions,no,no,survey_invitation_response_outcome_only,8,"The experiment randomizes invitation-email incentives or appeals and tests whether panelists take a survey. Its reported endpoint is participation rather than a judgment, belief, intention, preference, or comparable response to experimental content within a survey; the fixed invitation experiment therefore does not fit the target data/parser workflow. This flag does not change article counts.",af59186208e8cff74342f7e7217cf8393d3de4d9a31e20eabee54ab6c108a891,strategy_review,AI_assisted,2026-09-10,false,false
85012118612,The conditional nature of the local warming effect,yes,yes,followup_wave_requires_mapping,3,"A fixed two-arm survey randomizes a brief written corrective prompt before climate-belief, worry, and attribution items; a week-later follow-up repeats outcomes without another treatment. The first-wave structure is compatible in principle; the follow-up outcomes must be mapped separately when inspecting original files.",cc65ea6d15c5858ce6a698424f31dae2bed01991176b32abf12a05bdb184f8a4,strategy_review,AI_assisted,2026-09-10,false,false
85020188394,A Bottom-Up Theory of Public Opinion about Foreign Policy,yes,unclear,crossover_and_visual_cues_need_inspection,6,"The article reports five eligible content experiments measuring support for foreign policies. Experiments 1–2 use a crossover with linked treatment reversals, while social cues include bar graphs; experiment 3 has a simpler twelve-cell factorial. Survey files, visual materials, and study/wave mapping require inspection before article-level parser compatibility is established.",29c06042829430037ac816d7ba8e3c8c39c4fd97a16cd48bc653791f9cddd218,strategy_review,AI_assisted,2026-09-10,false,false
85041214633,The Number of Choice Tasks and Survey Satisficing in Conjoint Experiments,yes,no,conjoint_repeated_paired_profiles,4,The paper reports six new survey experiments that randomize candidate attributes and elicit choices between profiles. Thirty paired-profile tasks per respondent constitute a conjoint design that the current parser cannot handle. Broad survey-experiment eligibility and US geography remain separate from this compatibility flag; no count exclusion is applied.,5d37787136ef7d580e8c17c68a75c2e03f0bc3776b3d50a72b3516559f690f83,strategy_review,AI_assisted,2026-09-10,false,false
85053865862,Communicating with providers about racial healthcare disparities: The role of providers’ prior beliefs on their receptivity to different narrative frames,yes,yes,followup_measures_present,3,"A fixed three-arm narrative experiment measures immediate identification and behavioral intentions, plus a four-week self-report follow-up. Its immediate survey component appears compatible; combining follow-up outcomes would require participant linkage. No article exclusion is applied.",374499d992ff8240b9d0cf8079dd9297d24917a0e3fffaf1f620106f9e64b445,participant_guards,AI_assisted,2026-09-10,false,false
85059103503,Information and Issue Constraints on Party Cues,yes,yes,none_apparent,8,"A fixed twelve-condition assignment varies party cues and substantive information across three news stories, each followed by policy ratings. This appears compatible with a conventional survey-treatment structure; actual source files have not been tested.",35a1a3125f7207d06adf466d2b8ecabee9645d7d1570de597443bb5960f17147,participant_guards,AI_assisted,2026-09-10,false,false
85064539825,On the Meaning of Survey Reports of Roll-Call “Votes”,yes,yes,none_apparent,6,Three original experiments assign fixed information conditions before repeated judgments about legislation or court cases. Repeated question batteries do not themselves imply conjoint profiles; no complex adaptive task is apparent.,f9fcfdc13ba5da583c9ca96ac15a311404746fcc8ead283805f008925cc43118,participant_guards,AI_assisted,2026-09-10,false,false
85064805724,Demand effects in survey experiments: An empirical assessment,yes,unclear,mixed_includes_conjoint_subexperiment,5,"The article includes simple written framing, welfare and resume experiments as well as a paired-news conjoint task, all crossed with demand-effect manipulations. Some study components fit the target format, but the combined article-level dataset needs study selection before parser compatibility can be established.",cd876f4e034921d118d6aa0df037c1bdf40b477175fd712f02c55d3771e14105,participant_guards,AI_assisted,2026-09-10,false,false
85068603406,"Ethical climate(s), organizational identification, and employees' behavior",yes,yes,none_apparent,4,"Two experiments vary fixed descriptions of an organization’s ethical climate before identification, commitment and intention questions. The second adds a fixed alternative-job scenario; no conjoint or adaptive interaction is apparent.",5ac2a563299692c8b53fa7166357f8f86df7ef137d2beabc9be8580945632f2d,participant_guards,AI_assisted,2026-09-10,false,false
