identity,scopus_id,doi,title,year,journal,original_query,narrower_query,sample_us_label,source_review,conflict,conflict_resolution,mixed,adjudicated,rationale,n_validated_reviews,evidence_ids,human_validated
SCOPUS_ID:105014386945,105014386945,,PROBABILISTIC MODELLING OF NORM COMPLIANCE IN COLLECTIVE BEHAVIOUR,2025,Tpm Testing Psychometrics Methodology in Applied Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:105025552547,105025552547,,Effective Ways of Casting Doubt? Examining the Different Effects of Blatant and Suggestive Disinformation,2025,International Journal of Communication,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:105025961866,105025961866,,Investigating Health-Promoting Lifestyle Factors and Demographic Impacts Among Collegiate Flight Students,2025,Collegiate Aviation Review,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:77955498716,77955498716,,Effects of answer space size on responses to open-ended questions in mail surveys,2010,Journal of Official Statistics,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:78149237501,78149237501,,Contact strategies to improve participation via the web in a mixed-mode mail and web survey,2010,Journal of Official Statistics,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:83655182264,83655182264,,Are all contractual obligations created equal?,2011,Georgetown Law Journal,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:84863659470,84863659470,,Childhood sexual behavior as an indicator of sexual abuse: Professionals' criteria and biases,2012,Psicothema,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:84872322437,84872322437,,Why commuting is no perfect solution: Preferences for different mobility forms in dual career couples,2012,Zeitschrift Fur Familienforschung,true,true,unclear,metadata,false,,false,false,No country is identified for the couples in the experiment.,1,f6600fb82b56170dfee7,false
SCOPUS_ID:84874980565,84874980565,,"Why do (we think) they hate us: Anti-Americanism, patriotic messages, and attributions of blame",2013,International Journal of Communication,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:84875507076,84875507076,,The application of factorial surveys in general population samples: The effects of respondent age and education on response times and response consistency,2014,Survey Research Methods,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:84875515138,84875515138,,Empirical assessment of corporate environmental crime-control strategies,2013,Journal of Criminal Law and Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:84878439319,84878439319,,"I can take the risk, but you should be safe: Self-other differences in situations involving physical safety",2013,Judgment and Decision Making,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:84883649423,84883649423,,Informed consent for web paradata use,2013,Survey Research Methods,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:84890653985,84890653985,,"Tops, bottoms, and versatiles: What straight views of penetrative preferences could mean for sexuality claims under Price Waterhouse",2013,Yale Law Journal,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:84899157419,84899157419,,Design-based analysis of factorial designs embedded in probability samples,2013,Survey Methodology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:84920973219,84920973219,,Perceptions of taxing and spending: A survey experiment,2015,Yale Law Journal,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:84985864658,84985864658,,AN EMPIRICAL METHOD FOR MATERIALITY: WOULD CONFLICT OF INTEREST DISCLOSURES CHANGE PATIENT DECISIONS?,2014,American Journal of Law Medicine,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
