scopus_id,doi,title,journal,families,phrases,phrase_fields,guards_in_same_field,eligibility
105032888543,10.1002/ab.70064,"Well, That Was a Rude Exchange! A Multi-Study Examination of Trust as a Mediator Between Cyberbullying or Cyber Incivility Victimization and Relational Outcomes at Work",Aggressive Behavior,text_assignment,randomly assigned to read,abstract,true,unreviewed
85176929059,10.1002/cb.2283,Reconciling the personalization–privacy paradox via DoctorBots: The roles of service robot acceptance model elements and technology anxiety,Journal of Consumer Behaviour,contextual_design,scenario-based experiments,abstract,true,unreviewed
85059932376,10.1002/job.2345,Source attribution matters: Mediation and moderation effects in the relationship between work-to-family conflict and job satisfaction,Journal of Organizational Behavior,contextual_design,scenario-based experiment,abstract,true,unreviewed
85174300242,10.1002/oby.23917,Exposure to written content eliciting weight stigmatization: Neural responses in appetitive and food reward regions,Obesity,text_assignment,randomized to read,abstract,true,unreviewed
78649926201,10.1002/pon.1706,De-stigmatising human papillomavirus in the context of cervical cancer: A randomised controlled trial,Psycho Oncology,text_assignment,randomly allocated to read,abstract,true,unreviewed
84994731782,10.1007/s00228-016-2159-1,Improved participants’ understanding of research information in real settings using the SIDCER informed consent form: a randomized-controlled informed consent study nested with eight clinical trials,European Journal of Clinical Pharmacology,text_assignment,randomly assigned to read,abstract,true,unreviewed
85113577207,10.1007/s10584-021-03150-9,Public perception and acceptance of negative emission technologies – framing effects in Switzerland,Climatic Change,contextual_design,framing experiment,keywords,false,unreviewed
84959189854,10.1007/s10640-014-9847-z,Controlling for the Effects of Information in a Public Goods Discrete Choice Model,Environmental and Resource Economics,survey_information,information treatments,abstract,true,unreviewed
85107266949,10.1007/s10640-021-00564-y,Designing Effective and Acceptable Road Pricing Schemes: Evidence from the Geneva Congestion Charge,Environmental and Resource Economics,survey_information,informational treatments,abstract,true,unreviewed
105028911436,10.1007/s10640-026-01068-3,What We Know Shapes What We Grow: Environmental Information Treatment Effects on Urban Tree Choices,Environmental and Resource Economics,survey_information,information treatment,title|keywords,false,unreviewed
84882893419,10.1007/s10903-012-9623-5,Evaluation of a fotonovela to increase depression knowledge and reduce stigma among hispanic adults,Journal of Immigrant and Minority Health,text_assignment,randomly assigned to read,abstract,true,unreviewed
85145738327,10.1007/s10995-022-03579-z,Does Exposure to Pediatrician or Parent Blog Content Influence Infant Safe Sleep Practices?,Maternal and Child Health Journal,text_assignment,randomized to read,abstract,true,unreviewed
85177662763,10.1007/s11109-023-09902-w,Racial and Partisan Social Information Prompts Campaign Giving: Evidence from a Field Experiment,Political Behavior,survey_information,information treatments,abstract,true,unreviewed
84944706092,10.1007/s11136-015-1147-8,Language bias and self-rated health status among the Latino population: evidence of the influence of translation in a wording experiment,Quality of Life Research,survey_wording,wording experiment,title|abstract,true,unreviewed
105042669428,10.1007/s11150-026-09865-x,Did they even know it was harassment? Shifting perceptions through information,Review of Economics of the Household,survey_information,information treatment,abstract|keywords,true,unreviewed
85107882218,10.1007/s11211-021-00370-3,Getting Ratees to Accept Performance Feedback: A Relational Approach,Social Justice Research,contextual_design,scenario-based experiment,abstract,true,unreviewed
85100039866,10.1007/s11292-020-09455-6,Assessing the validity of white-collar crime definitions using experimental survey data,Journal of Experimental Criminology,text_assignment,randomly assigned to receive information,abstract,true,unreviewed
85131578152,10.1007/s11292-022-09518-w,Extending the long arm of the law: punishment and rehabilitation as motives of public support for handling violent juvenile offenders as adults,Journal of Experimental Criminology,text_assignment,randomly assigned to receive information,abstract,true,unreviewed
105003777728,10.1007/s11292-025-09671-y,Most Americans do not like mass incarceration: penal sensibility in an era of declining punitiveness,Journal of Experimental Criminology,survey_information,information treatments,abstract,true,unreviewed
85124741830,10.1007/s11577-022-00809-8,Perceived Inequality and Political Demand: How Do Perceptual Bias and Media Framing Influence Attitudes Towards the Wealth Tax?,Kolner Zeitschrift Fur Soziologie Und Sozialpsychologie,contextual_design,framing experiments,abstract,true,unreviewed
84906994329,10.1007/s11606-013-2567-1,Guideline-inconsistent breast cancer screening for women over 50: a vignette-based survey.,Journal of General Internal Medicine,vignette_survey,vignette-based survey,title,false,unreviewed
85054761412,10.1007/s11747-018-0609-2,Adapting influence approaches to informed consumers in high-involvement purchases: are salespeople really doomed?,Journal of the Academy of Marketing Science,contextual_design,scenario-based experiment,abstract,true,unreviewed
105023582240,10.1007/s12119-025-10495-1,Between Love and Stigma: A Vignette-Based Study of Monogamous Bias and Gender-Related Perceptions in Romantic Relationships,Sexuality and Culture,text_assignment,randomly assigned to read,abstract,true,unreviewed
85173992920,10.1007/s12144-023-05286-6,The effect of AI-induced outcome favorability on vigilance performance—an exploration based on attention capacity theory,Current Psychology,contextual_design,scenario-based experiment,abstract,true,unreviewed
85195141299,10.1007/s41109-024-00626-2,Linking perspectives: a field experiment on the role of multi-layer networks in refugee information sharing,Applied Network Science,survey_information,information treatment,abstract,true,unreviewed
84865696797,10.1016/j.amepre.2012.05.022,Nonrecommended breast and colorectal cancer screening for young women: A vignette-based survey,American Journal of Preventive Medicine,vignette_survey,vignette-based survey,title,false,unreviewed
85072243581,10.1016/j.chb.2019.09.003,I'm just trolling: The role of normative beliefs in aggressive behaviour in online gaming,Computers in Human Behavior,text_assignment,randomly assigned to read,abstract,true,unreviewed
84973449015,10.1016/j.ecolecon.2016.05.010,The role of public information in increasing homebuyers' willingness-to-pay for green housing: Evidence from Beijing,Ecological Economics,survey_information,information treatment,abstract,true,unreviewed
85145984604,10.1016/j.ecolecon.2022.107735,"Urban mining: The relevance of information, transaction costs and externalities",Ecological Economics,survey_information,informational treatments,abstract,true,unreviewed
