name,count,retrieved_at,query
baseline_user,10082,2026-09-09T07:53:47.311255+00:00,"TITLE-ABS-KEY(""survey experiment*"" OR ""survey-based experiment*"" OR ""survey-embedded experiment*"" OR ""vignette experiment*"" OR ""experimental vignette*"" OR ""vignette-based experiment*"" OR ""framing experiment*"" OR ""information provision experiment*"" OR ""survey-experimental"" OR ""vignette-based survey*"" OR ""scenario-based experiment*"") AND SRCTYPE(j) AND DOCTYPE(ar) AND PUBYEAR > 2009 AND PUBYEAR < 2027"
contextual_design,367,2026-09-09T07:53:48.277357+00:00,(TITLE-ABS-KEY({framing experiment} OR {framing experiments} OR {information provision experiment} OR {information provision experiments} OR {information-provision experiment} OR {information-provision experiments} OR {scenario-based experiment} OR {scenario-based experiments} OR {scenario based experiment} OR {scenario based experiments}) AND TITLE-ABS-KEY(survey* OR questionnaire* OR respondent*)) AND SRCTYPE(j) AND DOCTYPE(ar) AND PUBYEAR > 2009 AND PUBYEAR < 2027
embedded_design,128,2026-09-09T07:53:48.549577+00:00,(TITLE-ABS-KEY({experiment embedded in a survey} OR {experiments embedded in a survey} OR {experiment embedded in an online survey} OR {experiments embedded in an online survey} OR {experiment embedded in a national survey} OR {experiments embedded in national surveys} OR {experiment embedded in a nationally representative survey} OR {experiments embedded in nationally representative surveys} OR {embedded survey experiment} OR {embedded survey experiments} OR {survey with an embedded experiment} OR {survey with embedded experiments} OR {surveys with embedded experiments}) AND TITLE-ABS-KEY(survey* OR questionnaire* OR respondent*)) AND SRCTYPE(j) AND DOCTYPE(ar) AND PUBYEAR > 2009 AND PUBYEAR < 2027
embedded_design_beyond_core,81,2026-09-09T07:53:48.545995+00:00,"((TITLE-ABS-KEY({experiment embedded in a survey} OR {experiments embedded in a survey} OR {experiment embedded in an online survey} OR {experiments embedded in an online survey} OR {experiment embedded in a national survey} OR {experiments embedded in national surveys} OR {experiment embedded in a nationally representative survey} OR {experiments embedded in nationally representative surveys} OR {embedded survey experiment} OR {embedded survey experiments} OR {survey with an embedded experiment} OR {survey with embedded experiments} OR {surveys with embedded experiments}) AND TITLE-ABS-KEY(survey* OR questionnaire* OR respondent*)) AND NOT ((
  (TITLE-ABS-KEY({survey experiment} OR {survey experiments} OR {survey-based experiment} OR {survey-based experiments} OR {survey based experiment} OR {survey based experiments} OR {survey-embedded experiment} OR {survey-embedded experiments} OR {survey embedded experiment} OR {survey embedded experiments} OR {survey-experimental} OR {survey experimental}))
  OR (TITLE-ABS-KEY({vignette experiment} OR {vignette experiments} OR {experimental vignette} OR {experimental vignettes} OR {vignette-based experiment} OR {vignette-based experiments} OR {vignette based experiment} OR {vignette based experiments}))
  OR (TITLE-ABS-KEY({framing experiment} OR {framing experiments} OR {information provision experiment} OR {information provision experiments} OR {information-provision experiment} OR {information-provision experiments} OR {scenario-based experiment} OR {scenario-based experiments} OR {scenario based experiment} OR {scenario based experiments}) AND TITLE-ABS-KEY(survey* OR questionnaire* OR respondent*))
  OR (TITLE-ABS-KEY({vignette-based survey} OR {vignette-based surveys} OR {vignette based survey} OR {vignette based surveys}) AND TITLE-ABS-KEY(random* OR experiment*))
))) AND SRCTYPE(j) AND DOCTYPE(ar) AND PUBYEAR > 2009 AND PUBYEAR < 2027"
exact_core,8379,2026-09-09T07:53:47.180337+00:00,"(
  (TITLE-ABS-KEY({survey experiment} OR {survey experiments} OR {survey-based experiment} OR {survey-based experiments} OR {survey based experiment} OR {survey based experiments} OR {survey-embedded experiment} OR {survey-embedded experiments} OR {survey embedded experiment} OR {survey embedded experiments} OR {survey-experimental} OR {survey experimental}))
  OR (TITLE-ABS-KEY({vignette experiment} OR {vignette experiments} OR {experimental vignette} OR {experimental vignettes} OR {vignette-based experiment} OR {vignette-based experiments} OR {vignette based experiment} OR {vignette based experiments}))
  OR (TITLE-ABS-KEY({framing experiment} OR {framing experiments} OR {information provision experiment} OR {information provision experiments} OR {information-provision experiment} OR {information-provision experiments} OR {scenario-based experiment} OR {scenario-based experiments} OR {scenario based experiment} OR {scenario based experiments}) AND TITLE-ABS-KEY(survey* OR questionnaire* OR respondent*))
  OR (TITLE-ABS-KEY({vignette-based survey} OR {vignette-based surveys} OR {vignette based survey} OR {vignette based surveys}) AND TITLE-ABS-KEY(random* OR experiment*))
) AND SRCTYPE(j) AND DOCTYPE(ar) AND PUBYEAR > 2009 AND PUBYEAR < 2027"
factorial_randomized_vignette,735,2026-09-09T07:53:49.356086+00:00,(TITLE-ABS-KEY({factorial survey} OR {factorial surveys} OR {factorial vignette experiment} OR {factorial vignette experiments} OR {randomized vignette experiment} OR {randomized vignette experiments} OR {randomised vignette experiment} OR {randomised vignette experiments} OR {randomized vignette} OR {randomized vignettes} OR {randomised vignette} OR {randomised vignettes})) AND SRCTYPE(j) AND DOCTYPE(ar) AND PUBYEAR > 2009 AND PUBYEAR < 2027
factorial_randomized_vignette_beyond_core,357,2026-09-09T07:53:49.619761+00:00,"((TITLE-ABS-KEY({factorial survey} OR {factorial surveys} OR {factorial vignette experiment} OR {factorial vignette experiments} OR {randomized vignette experiment} OR {randomized vignette experiments} OR {randomised vignette experiment} OR {randomised vignette experiments} OR {randomized vignette} OR {randomized vignettes} OR {randomised vignette} OR {randomised vignettes})) AND NOT ((
  (TITLE-ABS-KEY({survey experiment} OR {survey experiments} OR {survey-based experiment} OR {survey-based experiments} OR {survey based experiment} OR {survey based experiments} OR {survey-embedded experiment} OR {survey-embedded experiments} OR {survey embedded experiment} OR {survey embedded experiments} OR {survey-experimental} OR {survey experimental}))
  OR (TITLE-ABS-KEY({vignette experiment} OR {vignette experiments} OR {experimental vignette} OR {experimental vignettes} OR {vignette-based experiment} OR {vignette-based experiments} OR {vignette based experiment} OR {vignette based experiments}))
  OR (TITLE-ABS-KEY({framing experiment} OR {framing experiments} OR {information provision experiment} OR {information provision experiments} OR {information-provision experiment} OR {information-provision experiments} OR {scenario-based experiment} OR {scenario-based experiments} OR {scenario based experiment} OR {scenario based experiments}) AND TITLE-ABS-KEY(survey* OR questionnaire* OR respondent*))
  OR (TITLE-ABS-KEY({vignette-based survey} OR {vignette-based surveys} OR {vignette based survey} OR {vignette based surveys}) AND TITLE-ABS-KEY(random* OR experiment*))
))) AND SRCTYPE(j) AND DOCTYPE(ar) AND PUBYEAR > 2009 AND PUBYEAR < 2027"
survey_design,6665,2026-09-09T07:53:47.042710+00:00,(TITLE-ABS-KEY({survey experiment} OR {survey experiments} OR {survey-based experiment} OR {survey-based experiments} OR {survey based experiment} OR {survey based experiments} OR {survey-embedded experiment} OR {survey-embedded experiments} OR {survey embedded experiment} OR {survey embedded experiments} OR {survey-experimental} OR {survey experimental})) AND SRCTYPE(j) AND DOCTYPE(ar) AND PUBYEAR > 2009 AND PUBYEAR < 2027
survey_information,179,2026-09-09T07:53:50.641031+00:00,(TITLE-ABS-KEY({information treatment} OR {information treatments} OR {informational treatment} OR {informational treatments}) AND TITLE-ABS-KEY(survey* OR questionnaire* OR respondent*) AND TITLE-ABS-KEY(random* OR experiment*)) AND SRCTYPE(j) AND DOCTYPE(ar) AND PUBYEAR > 2009 AND PUBYEAR < 2027
survey_information_beyond_core,116,2026-09-09T07:53:50.931089+00:00,"((TITLE-ABS-KEY({information treatment} OR {information treatments} OR {informational treatment} OR {informational treatments}) AND TITLE-ABS-KEY(survey* OR questionnaire* OR respondent*) AND TITLE-ABS-KEY(random* OR experiment*)) AND NOT ((
  (TITLE-ABS-KEY({survey experiment} OR {survey experiments} OR {survey-based experiment} OR {survey-based experiments} OR {survey based experiment} OR {survey based experiments} OR {survey-embedded experiment} OR {survey-embedded experiments} OR {survey embedded experiment} OR {survey embedded experiments} OR {survey-experimental} OR {survey experimental}))
  OR (TITLE-ABS-KEY({vignette experiment} OR {vignette experiments} OR {experimental vignette} OR {experimental vignettes} OR {vignette-based experiment} OR {vignette-based experiments} OR {vignette based experiment} OR {vignette based experiments}))
  OR (TITLE-ABS-KEY({framing experiment} OR {framing experiments} OR {information provision experiment} OR {information provision experiments} OR {information-provision experiment} OR {information-provision experiments} OR {scenario-based experiment} OR {scenario-based experiments} OR {scenario based experiment} OR {scenario based experiments}) AND TITLE-ABS-KEY(survey* OR questionnaire* OR respondent*))
  OR (TITLE-ABS-KEY({vignette-based survey} OR {vignette-based surveys} OR {vignette based survey} OR {vignette based surveys}) AND TITLE-ABS-KEY(random* OR experiment*))
))) AND SRCTYPE(j) AND DOCTYPE(ar) AND PUBYEAR > 2009 AND PUBYEAR < 2027"
