change,scopus_id,doi,title,year,journal,source_id,in_frame,first_authid,last_authid,byline_complete,local_phrase_verified,matched_families
added,72549084699,10.1016/j.agwat.2009.11.004,Evaluation of soil water storage efficiency for rainfall harvesting on hillslope micro-basins built using time domain reflectometry measurements,2010,Agricultural Water Management,35824,false,26647676200,56213042900,true,true,survey_design
added,73649132959,10.1111/j.1537-2995.2009.02381.x,Education in donation coping strategies encourages individuals to give blood: Further evaluation of a donor recruitment brochure,2010,Transfusion,20186,false,7103157283,35810093800,true,true,text_assignment
added,74849113919,10.1016/j.comcom.2009.10.016,QoE oriented cross-layer design of a resource allocation algorithm in beyond 3G systems,2010,Computer Communications,13681,false,55952547400,6602659920,true,true,survey_design
added,76749126333,10.1007/s00348-009-0739-x,Measurement of the noise generation at the trailing edge of porous airfoils,2010,Experiments in Fluids,20327,false,26429491700,26429441000,true,true,survey_design
added,76749143734,10.1509/jmkr.47.1.14,Reducing social desirability bias through item randomized response: An application to measure underreported desires,2010,Journal of Marketing Research,22961,true,16549251200,7404280363,true,true,survey_design
added,77649140877,10.1542/peds.2009-1666,"A ""novel"" intervention: A pilot study of children's literature and healthy lifestyles",2010,Pediatrics,15756,true,6603424679,8907994300,true,true,text_assignment
added,77949896480,10.1088/0953-2048/23/4/043001,Probing multiband superconductivity by point-contact spectroscopy,2010,Superconductor Science and Technology,12278,false,6701603207,7003482010,true,true,survey_design
added,77950201617,10.1177/0010414009356174,"Serving citizens: How comparable are polish and Russian ""Street-level"" Bureaucrats?",2010,Comparative Political Studies,13447,true,23566347000,23566347000,true,true,survey_design
added,77950637317,10.1186/1471-2164-11-231,Evolutionary genomics revealed interkingdom distribution of Tcn1-like chromodomain-containing Gypsy LTR retrotransposons among fungi and plants,2010,BMC Genomics,21727,true,36769063400,7005215278,true,true,survey_design
added,77950872530,10.1042/BJ20091834,Bioinformatic and experimental survey of 14-3-3-binding sites,2010,Biochemical Journal,16850,true,56423981600,7102170257,true,true,survey_design
added,77951211348,,Beliefs and perceptions about the personality characteristics of children and adults suffering from a terminal illness,2010,North American Journal of Psychology,3900148501,false,58039876800,6602187469,true,false,
added,77951696808,10.1088/1748-0221/5/04/P04001,Performances and stability of a 2.4 ton Gd organic liquid scintillator target for v̄e detection,2010,Journal of Instrumentation,4900152808,true,36005406400,55667669400,true,true,survey_design
added,77952000777,10.1108/09590551011045348,Transaction size effects on consumers' retail payment mode choice,2010,International Journal of Retail and Distribution Management,144921,false,6507543664,6507543664,true,true,survey_design
added,77954264952,10.1109/TOH.2010.3,Field-based validation of a tactile navigation device,2010,IEEE Transactions on Haptics,12100154405,false,7202059297,24331612000,true,false,
added,77954834727,10.1109/TPWRS.2010.2042979,Electromagnetic model of high speed railway lines for power quality studies,2010,IEEE Transactions on Power Systems,28825,true,8958410500,6603902742,true,true,survey_design
added,77954939163,,Health surveillance of truck drivers: It is not just a question of drugs. Description of a one-year experience,2010,Medicina Del Lavoro,29673,false,13604899800,16157880100,true,true,survey_design
added,77956412262,10.1016/j.tws.2010.07.005,Experimental survey on the behaviour of AISI 304 steel sheets subjected to perforation,2010,Thin Walled Structures,22094,false,23390609100,14066460200,true,true,survey_design
added,77956425714,10.1111/j.1745-6606.2010.01178.x,Investment decisions for retirement savings,2010,Journal of Consumer Affairs,21759,true,7004123400,7003475703,true,true,survey_design
added,77958527508,10.1111/j.1559-1816.2010.00672.x,Impact of Ethnic Identity and Ethnic Relevance of Health Information on Asian Americans' Preferences for E-Health Agents,2010,Journal of Applied Social Psychology,15390,true,36850778100,23767843500,true,false,
added,78249285619,10.1016/j.paid.2010.09.007,Sex differences in response to imagining a partner's heterosexual or homosexual affair,2011,Personality and Individual Differences,12807,true,36016215000,36652467400,true,true,text_assignment
added,78449305041,10.1007/s11109-010-9118-9,Cross-Cutting Messages and Political Tolerance: An Experiment Using Evangelical Protestants,2010,Political Behavior,22832,true,35932730100,35932730100,true,true,survey_design
added,78549266507,,Freight transport in urban areas: An integrated system of models to simulate freight demand and passengers demand for purchase trips,2010,International Journal of Mathematical Models and Methods in Applied Sciences,18100156703,false,35783922900,35784766100,true,true,survey_design
added,78649608763,10.1002/ejsp.722,Distinct pathways to persuasion: The role of affect in message-framing effects,2010,European Journal of Social Psychology,14117,true,23669618000,55537157500,true,false,
added,78649757025,,Impacts of inflow mean velocity and its concentration on the head velocity and the cross motion of density current using the hydraulic model,2010,Australian Journal of Crop Science,15900154720,false,36659269100,35179647800,true,true,survey_design
added,78649867527,10.1016/j.tetlet.2010.10.139,Intramolecular Diels-Alder reaction of N-allyl 2-furoyl amides: Effect of steric strain and amide rotational isomerism,2011,Tetrahedron Letters,26514,true,36716627600,7003556892,true,true,survey_design
added,78650064966,10.1007/s12544-010-0039-9,Data accuracy on automatic traffic counting: The SMART project results,2010,European Transport Research Review,19400158557,false,6603407934,6602414738,true,true,survey_design
added,78650753785,10.1155/2010/674248,Comparisons of auditory impressions and auditory imagery associated with onomatopoeic representation for environmental sounds,2010,Eurasip Journal on Audio Speech and Music Processing,5100155036,false,35574958900,6602843326,true,false,
added,78651359640,10.3964/j.issn.1000-0593(2011)01-0162-06,"Light absorption by suspended particulate matter in Chagan Lake, Jilin",2011,Guang Pu Xue Yu Guang Pu Fen Xi Spectroscopy and Spectral Analysis,29686,false,36605553200,55707363200,true,false,
added,78651518755,10.1017/s1930297500001704,Sacred values and conflict over Iran's nuclear program,2010,Judgment and Decision Making,19400157006,true,23093814000,6602942718,true,true,embedded_design
added,79251549846,10.1080/10781919.2010.487862,Emotional barriers to peace: Emotions and public opinion of Jewish Israelis about the peace process in the middle east,2011,Peace and Conflict,12793,true,35866830500,35866830500,true,true,survey_design
added,79551492633,10.1108/02652321111101374,Impact of corporate social responsibility initiatives on Taiwanese banking customers,2011,International Journal of Bank Marketing,145229,false,24071586900,36915358300,true,true,survey_design
added,79651471475,10.1016/j.ausmj.2010.11.003,"Understanding choice-goal compatibility, dissonance and decision satisfaction",2011,Australasian Marketing Journal,17700155010,false,8365511300,36678306800,true,true,survey_design
added,79751531194,10.1007/s11306-010-0251-6,Mining metabolites: Extracting the yeast metabolome from the literature,2011,Metabolomics,130171,false,6505543160,6602788919,true,true,survey_design
added,79952043823,10.1016/j.jpubeco.2010.10.011,Moral judgments in social dilemmas: How bad is free riding?,2011,Journal of Public Economics,29009,true,57203080039,36637711800,true,true,survey_design
added,79952172272,10.3166/ria.24.601-624,Experimental analysis of biases in the simulations of agents populations,2010,Revue D Intelligence Artificielle,24847,false,27867571900,7003859772,true,true,survey_design
added,79952278803,10.1377/hlthaff.2010.0174,Controversy undermines support for state mandates on the human papillomavirus vaccine,2010,Health Affairs,20833,true,7801629573,12795811900,true,true,survey_design
added,79953841969,10.1177/0272989X10371830,Communication of uncertainty regarding individualized cancer risk estimates: Effects and influential factors,2011,Medical Decision Making,17792,true,8645587000,7201720005,true,false,
added,79956023388,,Experimental survey on the tensile and shear fatigue strength properties of threaded rods anchored in concrete by means of epoxy resin,2011,Ingegneria Ferroviaria,25069,false,7004247568,26424086300,true,true,survey_design
added,79956082931,10.1016/j.conbuildmat.2011.04.019,Ambient vibration testing and condition assessment of the Paderno iron arch bridge (1889),2011,Construction and Building Materials,24443,false,7005059400,6602546452,true,true,survey_design
added,79957726502,10.1088/0034-4885/74/6/066501,Bosons in high-temperature superconductors: An experimental survey,2011,Reports on Progress in Physics,29709,true,35582459400,8287965300,true,true,survey_design
added,79958226584,10.1007/s12160-010-9242-0,Impact of genetic causal information on medical students' clinical encounters with an obese virtual patient: Health promotion and social stigma,2011,Annals of Behavioral Medicine,27473,true,23006054100,7004000684,true,false,
added,79958833504,10.1017/S0022381611000132,"""Don't know"" means ""don't know"": DK responses and the public's level of political knowledge",2011,Journal of Politics,20333,true,6602494550,36641208100,true,true,survey_design
added,79960281950,10.1371/journal.pone.0022050,Specific image characteristics influence attitudes about chimpanzee conservation and use as pets,2011,Plos One,10600153309,true,7401610347,35577611500,true,true,survey_design
