probe,count,query,retrieved_at
original_clause,1791,(TITLE-ABS-KEY(experiment*) AND ABS((read W/3 vignette*) OR (read W/3 scenario*) OR (read W/3 passage*) OR (read W/3 message*) OR (read W/3 article*) OR (read W/3 news) OR (manipulat* W/3 vignette*) OR (manipulat* W/3 scenario*) OR (manipulat* W/3 message*) OR (manipulat* W/3 information) OR (manipulat* W/3 wording)) AND ABS(survey* OR questionnaire* OR respondent* OR participant*)) AND SRCTYPE(j) AND DOCTYPE(ar) AND PUBYEAR > 2009 AND PUBYEAR < 2027,2026-09-10T13:09:14.312307+00:00
grouped_clause,1791,(TITLE-ABS-KEY(experiment*) AND ABS((read W/3 (vignette* OR scenario* OR passage* OR message* OR article* OR news)) OR (manipulat* W/3 (vignette* OR scenario* OR message* OR information OR wording))) AND ABS(survey* OR questionnaire* OR respondent* OR participant*)) AND SRCTYPE(j) AND DOCTYPE(ar) AND PUBYEAR > 2009 AND PUBYEAR < 2027,2026-09-10T13:09:14.278803+00:00
original_not_grouped,0,((TITLE-ABS-KEY(experiment*) AND ABS((read W/3 vignette*) OR (read W/3 scenario*) OR (read W/3 passage*) OR (read W/3 message*) OR (read W/3 article*) OR (read W/3 news) OR (manipulat* W/3 vignette*) OR (manipulat* W/3 scenario*) OR (manipulat* W/3 message*) OR (manipulat* W/3 information) OR (manipulat* W/3 wording)) AND ABS(survey* OR questionnaire* OR respondent* OR participant*)) AND SRCTYPE(j) AND DOCTYPE(ar) AND PUBYEAR > 2009 AND PUBYEAR < 2027) AND NOT (TITLE-ABS-KEY(experiment*) AND ABS((read W/3 (vignette* OR scenario* OR passage* OR message* OR article* OR news)) OR (manipulat* W/3 (vignette* OR scenario* OR message* OR information OR wording))) AND ABS(survey* OR questionnaire* OR respondent* OR participant*)),2026-09-10T13:09:14.305233+00:00
grouped_not_original,0,((TITLE-ABS-KEY(experiment*) AND ABS((read W/3 (vignette* OR scenario* OR passage* OR message* OR article* OR news)) OR (manipulat* W/3 (vignette* OR scenario* OR message* OR information OR wording))) AND ABS(survey* OR questionnaire* OR respondent* OR participant*)) AND SRCTYPE(j) AND DOCTYPE(ar) AND PUBYEAR > 2009 AND PUBYEAR < 2027) AND NOT (TITLE-ABS-KEY(experiment*) AND ABS((read W/3 vignette*) OR (read W/3 scenario*) OR (read W/3 passage*) OR (read W/3 message*) OR (read W/3 article*) OR (read W/3 news) OR (manipulat* W/3 vignette*) OR (manipulat* W/3 scenario*) OR (manipulat* W/3 message*) OR (manipulat* W/3 information) OR (manipulat* W/3 wording)) AND ABS(survey* OR questionnaire* OR respondent* OR participant*)),2026-09-10T13:09:15.379678+00:00
84907701762_read,0,EID(2-s2.0-84907701762) AND ABS(read),2026-09-10T13:09:15.240594+00:00
84907701762_read*,1,EID(2-s2.0-84907701762) AND ABS(read*),2026-09-10T13:09:15.385557+00:00
84907701762_{read},0,EID(2-s2.0-84907701762) AND ABS({read}),2026-09-10T13:09:16.184122+00:00
85050075964_read,0,EID(2-s2.0-85050075964) AND ABS(read),2026-09-10T13:09:16.347064+00:00
85050075964_read*,1,EID(2-s2.0-85050075964) AND ABS(read*),2026-09-10T13:09:16.406988+00:00
84921520419_experiment,0,EID(2-s2.0-84921520419) AND ABS(experiment),2026-09-10T13:09:17.213272+00:00
84921520419_experiment*,1,EID(2-s2.0-84921520419) AND ABS(experiment*),2026-09-10T13:09:17.350069+00:00
84921520419_{experiment},0,EID(2-s2.0-84921520419) AND ABS({experiment}),2026-09-10T13:09:17.308034+00:00
